student_id,student_name,curriculum,grade_level,weak_topic,requested_slot,branch
S001,Olivia Tan,IGCSE,9,Fractions,Mon_19,Central
S002,Olivia Wong,IGCSE,11,Algebra,Mon_17,Central
S003,Ethan Goh,IGCSE,5,Statistics,Mon_19,East
S004,Evelyn Chew,Local,12,Statistics,Tue_16,Central
S005,Sophia Chew,IB,9,Fractions,Mon_19,West
S006,Olivia Wong,IB,6,Geometry,Tue_16,East
S007,Lucas Lim,IGCSE,12,Statistics,Mon_17,West
S008,Noah Teo,IGCSE,10,Statistics,Mon_19,East
S009,Noah Lim,IGCSE,8,Geometry,Mon_17,Central
S010,Olivia Ho,IB,12,Geometry,Mon_19,West
S011,Charlotte Ng,IGCSE,9,Algebra,Sat_10,East
S012,Sophia Goh,Local,12,Calculus,Tue_16,East
S013,Evelyn Goh,IGCSE,10,Algebra,Mon_19,Central
S014,Benjamin Ho,IB,6,Fractions,Sat_10,East
S015,Benjamin Ng,IGCSE,12,Calculus,Wed_18,Central
S016,Lucas Koh,Local,9,Statistics,Wed_18,East
S017,Daniel Toh,Local,7,Statistics,Wed_18,Central
S018,Emma Chua,Local,7,Calculus,Sat_10,Central
S019,Daniel Ho,IGCSE,12,Statistics,Tue_16,East
S020,Liam Chua,IGCSE,9,Geometry,Mon_17,West
S021,Amelia Lee,IB,5,Geometry,Sat_10,Central
S022,Samuel Chua,IGCSE,9,Statistics,Sat_10,Central
S023,Aiden Toh,Local,5,Statistics,Tue_16,West
S024,Liam Chua,IB,9,Fractions,Mon_17,Central
S025,Ryan Wong,Local,12,Algebra,Sat_10,Central
S026,Aiden Neo,IGCSE,7,Geometry,Sat_10,East
S027,Amelia Ng,IGCSE,8,Geometry,Wed_18,East
S028,Charlotte Loh,IGCSE,12,Algebra,Mon_19,Central
S029,Noah Yeo,Local,8,Statistics,Mon_19,Central
S030,Noah Lim,Local,6,Algebra,Tue_16,Central
S031,Samuel Goh,IB,12,Fractions,Sat_10,Central
S032,Ryan Neo,Local,12,Calculus,Mon_19,Central
S033,Olivia Chew,IB,11,Calculus,Wed_18,East
S034,Emma Chua,Local,11,Geometry,Mon_17,Central
S035,Ethan Ng,IGCSE,12,Fractions,Wed_18,Central
S036,Lucas Loh,Local,6,Calculus,Sat_10,Central
S037,Emma Tan,Local,8,Fractions,Wed_18,West
S038,Harper Ng,IB,5,Fractions,Wed_18,Central
S039,Daniel Ong,IB,9,Calculus,Sat_10,East
S040,Harper Koh,Local,9,Fractions,Mon_17,East
S041,Evelyn Lim,IGCSE,10,Algebra,Mon_17,East
S042,Harper Lee,Local,6,Fractions,Mon_17,East
S043,Noah Goh,IB,6,Statistics,Mon_19,East
S044,Ella Lim,IGCSE,6,Calculus,Sat_10,East
S045,Samuel Yeo,IB,8,Geometry,Mon_19,West
S046,Daniel Koh,IGCSE,9,Calculus,Tue_16,Central
S047,Liam Loh,IGCSE,6,Algebra,Sat_10,Central
S048,Samuel Ong,Local,10,Algebra,Mon_19,West
S049,Mia Lee,IB,9,Statistics,Sat_10,Central
S050,Evelyn Teo,IGCSE,6,Fractions,Tue_16,Central
S051,Olivia Koh,IB,9,Statistics,Mon_19,East
S052,Benjamin Ng,IGCSE,9,Statistics,Wed_18,West
S053,Emma Wong,IGCSE,11,Geometry,Mon_17,Central
S054,Benjamin Koh,IGCSE,9,Fractions,Wed_18,East
S055,Amelia Tan,Local,6,Fractions,Sat_10,Central
S056,Charlotte Koh,IB,7,Algebra,Tue_16,West
S057,Emma Toh,Local,8,Algebra,Tue_16,East
S058,Amelia Koh,Local,7,Fractions,Wed_18,Central
S059,Sophia Yeo,IB,8,Geometry,Mon_19,East
S060,Olivia Ho,Local,12,Fractions,Mon_19,West
S061,Charlotte Teo,Local,8,Algebra,Mon_19,West
S062,Benjamin Ong,Local,9,Geometry,Sat_10,West
S063,Evelyn Yeo,Local,6,Geometry,Mon_19,East
S064,Lucas Lim,Local,11,Geometry,Tue_16,West
S065,Ella Chua,IB,8,Geometry,Mon_17,East
S066,Amelia Tan,IGCSE,8,Geometry,Wed_18,Central
S067,Benjamin Yeo,IGCSE,6,Geometry,Sat_10,West
S068,Amelia Yeo,IB,9,Statistics,Mon_19,Central
S069,Amelia Ho,IGCSE,7,Statistics,Sat_10,West
S070,Daniel Tan,IB,9,Fractions,Wed_18,East
S071,Ella Yeo,IB,12,Calculus,Mon_19,East
S072,Harper Lee,IGCSE,6,Geometry,Sat_10,East
S073,Ella Yeo,Local,8,Geometry,Mon_19,Central
S074,Aiden Tan,Local,8,Calculus,Sat_10,Central
S075,Matthew Chew,IGCSE,8,Calculus,Wed_18,West
S076,Isabella Koh,IGCSE,5,Algebra,Wed_18,Central
S077,Sophia Loh,Local,8,Algebra,Wed_18,Central
S078,Matthew Yeo,IB,11,Statistics,Wed_18,Central
S079,Harper Loh,IB,8,Geometry,Sat_10,West
S080,Isabella Ong,IB,6,Geometry,Mon_19,West
